label,scale,full,bnd_r1,bnd_r3,thin_r1,thin_r3
baseline-B1@0.75,0.75,0.7599518299102783,0.35952726006507874,0.4512838125228882,0.3340417742729187,0.4218139350414276
baseline-B1@0.78,0.78125,0.7585464119911194,0.3625226318836212,0.4556134045124054,0.3372199535369873,0.42646920680999756
baseline-B1@0.81,0.8125,0.7615854144096375,0.3672020733356476,0.4617830514907837,0.3450865149497986,0.4362978935241699
baseline-B1@0.88,0.875,0.7640697956085205,0.37318164110183716,0.4699758291244507,0.3526747226715088,0.44636988639831543
baseline-B1@0.94,0.9375,0.7622182369232178,0.3782794773578644,0.47661781311035156,0.3601979613304138,0.4563773274421692
baseline-B1@1.00,1.0,0.7624893188476562,0.383589506149292,0.483784019947052,0.3663259446620941,0.4644699990749359
baseline-B2@0.75,0.75,0.7511844635009766,0.356284499168396,0.4465411305427551,0.33093127608299255,0.41630691289901733
baseline-B2@0.78,0.78125,0.7560678124427795,0.3598538935184479,0.45214352011680603,0.33591076731681824,0.4238077402114868
baseline-B2@0.81,0.8125,0.7569705843925476,0.36404380202293396,0.4580151438713074,0.3415650725364685,0.43154191970825195
baseline-B2@0.88,0.875,0.7595356702804565,0.3684426248073578,0.46468475461006165,0.34725651144981384,0.43962177634239197
baseline-B2@0.94,0.9375,0.7608218193054199,0.37421321868896484,0.47264018654823303,0.3552279472351074,0.45032045245170593
baseline-B2@1.00,1.0,0.7567616105079651,0.3779505789279938,0.47798165678977966,0.3619856536388397,0.45890259742736816
